C	N	P	S	V	Ni	Nb	Al	Ti	Fe	Hf	Mo	Mn	Co	Si	Cr	Cu	SFE
0.009	0.033	0	0	0	25	0	0	0	54.958	0	0	0	0	0	20	0	38
0.01	0.029	0	0	0	30	0	0	0	49.961	0	0	0	0	0	20	0	34
0.012	0.013	0	0	0	20	0	0	0	69.975	0	0	0	0	0	10	0	48
0.012	0.011	0	0	0	20	0	0	0	64.977	0	0	0	0	0	15	0	44
0.017	0.047	0	0	0	20	0	0	0	54.936	0	0	0	0	0	25	0	47
0.027	0.003	0	0	0	20	0	0	0	59.97	0	0	0	0	0	20	0	43
0.05	0.01	0	0	0	30	0	0	0	49.94	0	0	0	0	0	20	0	47
0.28	0	0	0	0	0	0	1.19	0	74.97	0	0	18.8	0	0	4.76	0	20.9
0.27	0	0	0	0	0	0	2.55	0	72.89	0	0	19.4	0	0	4.89	0	30.5
0.27	0	0	0	0	0	0	3.28	0	72.95	0	0	18.7	0	0	4.8	0	39.4
0.28	0	0	0	0	0	0	3.98	0	70.77	0	0	20.1	0	0	4.87	0	47.5
0.02	0.61	0	0	0	0	0	0	0	71.06	0	0	9.7	0	0.31	18.3	0	19.3
0.24	0.35	0	0	0	0	0	0	0	71.61	0	0	9.51	0	0.23	18.06	0	20.8
0.3	0.32	0	0	0	0	0	0	0	71.58	0	0	9.61	0	0.13	18.06	0	22.5
0.03	0.01	0	0	0	5.9	0	0	0	69.65	0	0.01	7.1	0	1.1	16.2	0	17.5
0.05	0.04	0	0	0	3.7	0	0	0	72	0	0.01	6.6	0	0.9	16.7	0	8.1
0.62	0	0	0	0	0	0	0.01	0	81.71	0	0	17.65	0	0.01	0	0	13.8
0.58	0	0	0	0	0	0	1.54	0	80.32	0	0	17.51	0	0.05	0	0	29.1
0.59	0	0	0	0	0	0	0.03	0	80.09	0	0	17.7	0	1.59	0	0	19.3
0	0	0	0	0	14.1	0	0	0	68.09	0	0	0	0	0.01	17.8	0	50
0	0	0	0	0	14	0	0	0	67.4	0	0	0	0	0.9	17.7	0	32
0	0	0	0	0	13.55	0	0	0	67.19	0	0	0	0	1.86	17.4	0	26
0	0	0	0	0	13.75	0	0	0	66.26	0	0	0	0	2.79	17.2	0	22
0	0	0	0	0	13.7	0	0	0	65.54	0	0	0	0	3.66	17.1	0	21
0.047	0.205	0	0	0	3.71	0	0	0	71.218	0	0.05	6.74	0	0.32	17.48	0.23	10.63
0.047	0.205	0	0	0	3.71	0	0	0	71.218	0	0.05	6.74	0	0.32	17.48	0.23	13.2
0.047	0.205	0	0	0	3.71	0	0	0	71.218	0	0.05	6.74	0	0.32	17.48	0.23	15.08
0.047	0.205	0	0	0	3.71	0	0	0	71.218	0	0.05	6.74	0	0.32	17.48	0.23	36.35
0.047	0.205	0	0	0	3.71	0	0	0	71.218	0	0.05	6.74	0	0.32	17.48	0.23	40.39
0.02	0	0	0	0	7.2	0	0	0	61.12	0	0	18.3	0	5.76	7.6	0	9.86
0.02	0	0	0	0	6.34	0	0	0	63.68	0	0	15.52	0	5.89	8.55	0	8.31
0.02	0	0	0	0	5.01	0	0	0	65.71	0	0	14.67	0	5.87	8.72	0	3.26
0.02	0	0	0	0	5.51	0	0	0	65.92	0	0	14.72	0	5.86	7.97	0	7.19
0.02	0	0	0	0	6.1	0	0	0	64.48	0	0	14.2	0	6.1	9.1	0	4.65
0.02	0	0	0	0	7.56	0	0	0	70.5	0	0	7.82	0	6.22	7.88	0	6.39
0.18	0	0	0	0	7	0	0	0	74.82	0	0	0	0	0	18	0	19
0.18	0	0	0	0	7	0	0	0	74.82	0	0	0	0	0	18	0	28
0.18	0	0	0	0	7	0	0	0	74.82	0	0	0	0	0	18	0	45
0.18	0	0	0	0	7	0	0	0	74.82	0	0	0	0	0	18	0	48
0.047	0.205	0	0	0	3.71	0	0	0	71.218	0	0.05	6.74	0	0.32	17.48	0.23	11.6
0.047	0.205	0	0	0	3.71	0	0	0	71.218	0	0.05	6.74	0	0.32	17.48	0.23	15.84
